pdb_id,structure_label,structure_state,cutoff_angstrom,interaction_energy_kcal_mol,unoptimised_interaction_energy_kcal_mol,interaction_energy_change_from_unoptimised_kcal_mol,complex_pdb,receptor_pdb,ligand_sdf,receptor_charge,ligand_charge,receptor_energy_kcal_mol,ligand_energy_kcal_mol,complex_energy_kcal_mol
3R8Z,unoptimised,unoptimised_original,,-48.39751845540013,-48.3975184554,0.0000000000,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/input/complex.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/input/complex_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/input/ligand.sdf,4,0,-72812796.61815625,-726331.5828866368,-73539176.59856135
3R8Z,0A,mlp_relaxed,0,-46.74186823936179,-48.3975184554,1.6556502160,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_0A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812796.61815625,-726343.9795000735,-73539187.33952457
3R8Z,2A,mlp_relaxed,2,-42.46835124923382,-48.3975184554,5.9291672062,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_2A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812597.32344963,-726346.0296058761,-73538985.82140675
3R8Z,5A,mlp_relaxed,5,-53.616675046272576,-48.3975184554,-5.2191565909,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_5A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812667.79574157,-726345.3023675559,-73539066.71478418
3R8Z,10A,mlp_relaxed,10,-56.45427936792839,-48.3975184554,-8.0567609125,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_10A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72813280.21711518,-726345.3111563277,-73539681.98255087
3R8Z,20A,mlp_relaxed,20,-59.01556987024378,-48.3975184554,-10.6180514148,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_20A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8Z/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72814433.11294407,-726346.0316221073,-73540838.16013604
