file,status,heat_of_formation,total_energy
conf_01_water_opt.out,ok,-161.52987,
conf_02_water_opt.out,ok,-161.41128,
conf_03_water_opt.out,ok,-161.70021,
conf_04_water_opt.out,ok,-161.43526,
conf_05_water_opt.out,ok,-161.85241,
conf_06_water_opt.out,ok,-161.46098,
conf_07_water_opt.out,ok,-160.66058,
conf_08_water_opt.out,ok,-161.23754,
conf_09_water_opt.out,ok,-160.62342,
conf_10_water_opt.out,ok,-161.69359,
