pdb_id,structure_label,structure_state,cutoff_angstrom,interaction_energy_kcal_mol,unoptimised_interaction_energy_kcal_mol,interaction_energy_change_from_unoptimised_kcal_mol,complex_pdb,receptor_pdb,ligand_sdf,receptor_charge,ligand_charge,receptor_energy_kcal_mol,ligand_energy_kcal_mol,complex_energy_kcal_mol
3R8U,unoptimised,unoptimised_original,,-57.89492565265391,-57.8949256527,0.0000000000,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/input/complex.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/input/complex_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/input/ligand.sdf,4,0,-72812799.85995914,-812740.0204489989,-73625597.77533379
3R8U,0A,mlp_relaxed,0,-56.130190392257646,-57.8949256527,1.7647352604,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_0A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812799.85995914,-812751.9413791697,-73625607.9315287
3R8U,2A,mlp_relaxed,2,-51.92165449471213,-57.8949256527,5.9732711579,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_2A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812697.67065042,-812755.43606895,-73625505.02837387
3R8U,5A,mlp_relaxed,5,-57.21378525253385,-57.8949256527,0.6811404001,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_5A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812783.3934073,-812757.0380275333,-73625597.64522009
3R8U,10A,mlp_relaxed,10,-63.094593637040816,-57.8949256527,-5.1996679844,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_10A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72813340.62366179,-812755.4966035705,-73626159.214859
3R8U,20A,mlp_relaxed,20,-65.62139067996759,-57.8949256527,-7.7264650273,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_20A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3R8U/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72814433.45124961,-812756.8831075485,-73627255.95574784
