file,status,heat_of_formation,total_energy
conf_01_water_opt.out,ok,-161.92755,
conf_02_water_opt.out,ok,-161.61196,
conf_03_water_opt.out,ok,-161.9529,
conf_04_water_opt.out,ok,-161.39432,
conf_05_water_opt.out,ok,-161.80309,
conf_06_water_opt.out,ok,-161.45792,
conf_07_water_opt.out,ok,-160.69111,
conf_08_water_opt.out,ok,-161.42774,
conf_09_water_opt.out,ok,-160.87397,
conf_10_water_opt.out,ok,-161.63734,
