pdb_id,structure_label,structure_state,cutoff_angstrom,interaction_energy_kcal_mol,unoptimised_interaction_energy_kcal_mol,interaction_energy_change_from_unoptimised_kcal_mol,complex_pdb,receptor_pdb,ligand_sdf,receptor_charge,ligand_charge,receptor_energy_kcal_mol,ligand_energy_kcal_mol,complex_energy_kcal_mol
3S1H,unoptimised,unoptimised_original,,-84.1781486691907,-84.1781486692,0.0000000000,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/input/complex.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/input/complex_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/input/ligand.sdf,4,0,-72812791.85836154,-1239100.2502267836,-74051976.286737
3S1H,0A,mlp_relaxed,0,-81.63938304409385,-84.1781486692,2.5387656251,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_0A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812791.85836154,-1239121.7882345356,-74051995.28597912
3S1H,2A,mlp_relaxed,2,-81.701823560521,-84.1781486692,2.4763251087,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_2A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812590.68029855,-1239123.487583058,-74051795.86970517
3S1H,5A,mlp_relaxed,5,-101.21327215712517,-84.1781486692,-17.0351234879,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_5A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812687.29318744,-1239122.2394690635,-74051910.74592866
3S1H,10A,mlp_relaxed,10,-104.39908992568962,-84.1781486692,-20.2209412565,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_10A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72813366.06733978,-1239125.257473416,-74052595.72390312
3S1H,20A,mlp_relaxed,20,-104.34294275124557,-84.1781486692,-20.1647940821,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_20A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3S1H/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72814500.5121641,-1239127.184295737,-74053732.03940259
