pdb_id,structure_label,structure_state,cutoff_angstrom,interaction_energy_kcal_mol,unoptimised_interaction_energy_kcal_mol,interaction_energy_change_from_unoptimised_kcal_mol,complex_pdb,receptor_pdb,ligand_sdf,receptor_charge,ligand_charge,receptor_energy_kcal_mol,ligand_energy_kcal_mol,complex_energy_kcal_mol
3RK9,unoptimised,unoptimised_original,,-60.98302182648331,-60.9830218265,0.0000000000,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/input/complex.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/input/complex_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/input/ligand.sdf,4,0,-72812792.75408296,-727106.6164190313,-73539960.35352382
3RK9,0A,mlp_relaxed,0,-59.206788820098154,-60.9830218265,1.7762330064,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_0A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812792.75408296,-727119.6042336702,-73539971.56510545
3RK9,2A,mlp_relaxed,2,-54.027980795828626,-60.9830218265,6.9550410307,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_2A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812681.61713913,-727121.7912447241,-73539857.43636465
3RK9,5A,mlp_relaxed,5,-68.52020638610702,-60.9830218265,-7.5371845596,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_5A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812659.67024444,-727121.791071525,-73539849.98152235
3RK9,10A,mlp_relaxed,10,-72.66978229337838,-60.9830218265,-11.6867604669,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_10A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72813239.29133229,-727121.8420993114,-73540433.8032139
3RK9,20A,mlp_relaxed,20,-73.51778331166133,-60.9830218265,-12.5347614852,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_20A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RK9/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72814472.91105105,-727122.5503593409,-73541668.9791937
