pdb_id,structure_label,structure_state,cutoff_angstrom,interaction_energy_kcal_mol,unoptimised_interaction_energy_kcal_mol,interaction_energy_change_from_unoptimised_kcal_mol,complex_pdb,receptor_pdb,ligand_sdf,receptor_charge,ligand_charge,receptor_energy_kcal_mol,ligand_energy_kcal_mol,complex_energy_kcal_mol
3QU0,unoptimised,unoptimised_original,,-91.87975012604147,-91.8797501260,0.0000000000,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/input/complex.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/input/complex_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/input/ligand.sdf,4,0,-72812793.58067828,-1177261.1322888797,-73990146.59271729
3QU0,0A,mlp_relaxed,0,-89.1753732250072,-91.8797501260,2.7043769010,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_0A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812793.58067828,-1177281.3336835667,-73990164.08973508
3QU0,2A,mlp_relaxed,2,-89.6117475379724,-91.8797501260,2.2680025881,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_2A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812667.32624874,-1177282.1322671573,-73990039.07026343
3QU0,5A,mlp_relaxed,5,-115.0701667019166,-91.8797501260,-23.1904165759,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_5A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812645.47126104,-1177279.7628468177,-73990040.30427456
3QU0,10A,mlp_relaxed,10,-111.28626328916289,-91.8797501260,-19.4065131631,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_10A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72813357.49053985,-1177281.7791500816,-73990750.55595322
3QU0,20A,mlp_relaxed,20,-111.9769023898989,-91.8797501260,-20.0971522639,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_20A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QU0/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72814511.22361824,-1177283.8313464578,-73991907.03186709
