pdb_id,structure_label,structure_state,cutoff_angstrom,interaction_energy_kcal_mol,unoptimised_interaction_energy_kcal_mol,interaction_energy_change_from_unoptimised_kcal_mol,complex_pdb,receptor_pdb,ligand_sdf,receptor_charge,ligand_charge,receptor_energy_kcal_mol,ligand_energy_kcal_mol,complex_energy_kcal_mol
3RPV,unoptimised,unoptimised_original,,-89.47071713558398,-89.4707171356,0.0000000000,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/input/complex.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/input/complex_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/input/ligand.sdf,4,0,-72812791.18235303,-1201955.4595075364,-74014836.1125777
3RPV,0A,mlp_relaxed,0,-87.39531702524982,-89.4707171356,2.0754001103,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_0A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812791.18235303,-1201975.266233303,-74014853.84390336
3RPV,2A,mlp_relaxed,2,-86.50978293293156,-89.4707171356,2.9609342027,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_2A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812651.50764966,-1201976.296513073,-74014714.31394567
3RPV,5A,mlp_relaxed,5,-108.52631422970444,-89.4707171356,-19.0555970941,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_5A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812653.99599762,-1201973.4285605242,-74014735.95087238
3RPV,10A,mlp_relaxed,10,-107.58656348986551,-89.4707171356,-18.1158463543,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_10A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72813337.89418723,-1201976.1332346578,-74015421.61398537
3RPV,20A,mlp_relaxed,20,-103.5100279089529,-89.4707171356,-14.0393107734,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_20A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3RPV/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72814404.69555198,-1201978.4224953565,-74016486.62807524
