pdb_id,structure_label,structure_state,cutoff_angstrom,interaction_energy_kcal_mol,unoptimised_interaction_energy_kcal_mol,interaction_energy_change_from_unoptimised_kcal_mol,complex_pdb,receptor_pdb,ligand_sdf,receptor_charge,ligand_charge,receptor_energy_kcal_mol,ligand_energy_kcal_mol,complex_energy_kcal_mol
3QTW,unoptimised,unoptimised_original,,-66.8339600666659,-66.8339600667,0.0000000000,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/input/complex.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/input/complex_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/input/ligand.sdf,4,0,-72812793.9787785,-798137.6246159122,-73610998.43735448
3QTW,0A,mlp_relaxed,0,-64.70746377774049,-66.8339600667,2.1264962889,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_0A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_0A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812793.9787785,-798149.4873716318,-73611008.1736139
3QTW,2A,mlp_relaxed,2,-60.44875171862077,-66.8339600667,6.3852083480,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_2A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_2A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812682.60170685,-798151.4998991183,-73610894.55035768
3QTW,5A,mlp_relaxed,5,-73.52271051518619,-66.8339600667,-6.6887504485,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_5A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_5A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72812644.67785263,-798151.6665453333,-73610869.86710848
3QTW,10A,mlp_relaxed,10,-78.42435186041985,-66.8339600667,-11.5903917938,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_10A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_10A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72813300.54579456,-798151.2680192845,-73611530.2381657
3QTW,20A,mlp_relaxed,20,-77.82742801785935,-66.8339600667,-10.9934679512,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_20A/complex_pocket_mlp_minimised.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_receptor_only_el_fixed.pdb,/nobackup/proj/rockhpc_dccadd/ckn/mlp/009_cdk2/local_results/3QTW/results/pocket_cutoff_20A/complex_pocket_mlp_minimised_ligand.sdf,4,0,-72814522.88295087,-798152.3804558319,-73612753.09083472
